File,Decks,Gen Time,Write Time,Read Time,Size (MB)
decks_0132.txt,"10,000",517.7 ms,13.5 ms,9.9 ms,0.51
decks_0133.txt,"10,000",520.4 ms,18.3 ms,10.5 ms,0.51
decks_0134.txt,"10,000",515.8 ms,10.5 ms,10.2 ms,0.51
decks_0135.txt,"10,000",518.8 ms,22.6 ms,9.0 ms,0.51
decks_0136.txt,"10,000",514.5 ms,22.0 ms,10.2 ms,0.51
decks_0137.txt,"10,000",519.2 ms,20.1 ms,11.0 ms,0.51
decks_0138.txt,"10,000",513.2 ms,14.2 ms,8.5 ms,0.51
decks_0139.txt,"10,000",518.7 ms,18.6 ms,10.2 ms,0.51
decks_0140.txt,"10,000",511.7 ms,10.9 ms,8.5 ms,0.51
decks_0141.txt,"10,000",519.5 ms,18.2 ms,10.2 ms,0.51
decks_0142.txt,"10,000",517.3 ms,11.4 ms,9.8 ms,0.51
decks_0143.txt,"10,000",521.6 ms,11.0 ms,9.8 ms,0.51
decks_0144.txt,"10,000",514.9 ms,9.9 ms,6.2 ms,0.51
decks_0145.txt,"10,000",461.4 ms,18.8 ms,6.6 ms,0.51
decks_0146.txt,"10,000",515.5 ms,10.6 ms,10.7 ms,0.51
decks_0147.txt,"10,000",517.9 ms,20.4 ms,8.7 ms,0.51
decks_0148.txt,"10,000",520.2 ms,10.6 ms,10.4 ms,0.51
decks_0149.txt,"10,000",517.0 ms,20.3 ms,8.3 ms,0.51
decks_0150.txt,"10,000",522.2 ms,8.9 ms,9.1 ms,0.51
decks_0151.txt,"10,000",507.5 ms,21.0 ms,10.5 ms,0.51
decks_0152.txt,"10,000",522.6 ms,9.8 ms,10.4 ms,0.51
decks_0153.txt,"10,000",511.4 ms,20.3 ms,8.5 ms,0.51
decks_0154.txt,"10,000",518.9 ms,10.2 ms,7.5 ms,0.51
decks_0155.txt,"10,000",507.9 ms,20.5 ms,8.6 ms,0.51
decks_0156.txt,"10,000",520.4 ms,10.5 ms,5.0 ms,0.51
decks_0157.txt,"10,000",429.3 ms,19.7 ms,8.3 ms,0.51
decks_0158.txt,"10,000",519.1 ms,11.0 ms,7.7 ms,0.51
decks_0159.txt,"10,000",506.5 ms,20.3 ms,8.6 ms,0.51
decks_0160.txt,"10,000",516.9 ms,18.3 ms,5.7 ms,0.51
decks_0161.txt,"10,000",438.7 ms,18.8 ms,5.8 ms,0.51
decks_0162.txt,"10,000",422.3 ms,11.2 ms,11.2 ms,0.51
decks_0163.txt,"10,000",513.5 ms,21.1 ms,5.3 ms,0.51
decks_0164.txt,"10,000",415.8 ms,10.3 ms,5.3 ms,0.51
decks_0165.txt,"10,000",504.1 ms,18.7 ms,10.3 ms,0.51
decks_0166.txt,"10,000",526.3 ms,11.2 ms,5.7 ms,0.51
decks_0167.txt,"10,000",518.8 ms,21.7 ms,9.7 ms,0.51
decks_0168.txt,"10,000",514.9 ms,10.1 ms,10.7 ms,0.51
decks_0169.txt,"10,000",519.7 ms,22.6 ms,8.2 ms,0.51
